Guess,Guess_(clothing)
Gymboree,Gymboree
Oldnavy,Old_Navy
Jcrew,J.Crew
hm,H&M
Ralphlauren,Polo_Ralph_Lauren
Levi,Levi_Strauss_&_Co.

BMW,BMW
Ford,Ford_Motor_Company
Honda,Honda
Toyota,Toyota
Chrysler,Chrysler
Hyundai,Hyundai_Motor_Company
Nissan,Nissan_Motors
Vw,Volkswagen

Bosch,BSH_Bosch_und_Siemens_Hausgeräte
Electrolux,Electrolux
GE,General_Electric
LG,LG_Corp
Whirlpool,Whirlpool

Costco,Costco
FredMeyer,Fred_Meyer
Kmart,Kmart
Target,Target_Corporation
Walmart,Walmart

J.C. Penny,J._C._Penney
Sears,Sears
Macys,Macy's

Nike,Nike_Inc
Adidas,Adidas

Automotive,wikicategory_Car_manufacturers
Appliances,wikicategory_Home_appliance_manufacturers
Clothing,wikicategory_Clothing_companies
Superstores,wikicategory_Retail_companies_of_the_United_States
Department Stores,wikicategory_departmental_store
Athletic Stores,wikicategory_Sporting_goods_manufacturers
