(1,7,1)	330
(1,31,1)	331
(3,17,3)	331
(3,31,3)	342
(3,16,3)	347
(3,85,3)	355
(3,8,1)	356
(3,5,3)	363
(3,13,1)	377
(43,16,1)	385
(3,13,3)	392
(3,15,3)	400
(1,23,1)	403
(1,22,1)	413
(3,11,3)	443
(3,20,3), (3,20,1)	446
(1,17,1)	450
(1,15,1)	451
(1,16,1)	453
(1,20,1), (1,20,1)	462
(1,8,1)	482
(1,27,1)	486
(1,1,3)	494
(3,1,3), (3,1,3)	511
(1,10,1)	516
(3,28,3)	525
(3,20,1), (3,20,3)	545
(1,28,1)	612
(3,8,3)	620
(1,1,1), (1,1,1)	630
(1,11,1)	637
(3,20,1)	666
(1,13,1)	671
(1,5,1)	716
(3,1,1)	740
(3,20,3), (3,20,3)	840
(1,20,1)	845
(3,1,3)	1207
(1,1,1)	1292
(3,20,3)	1375
